,GRB,B_o,B_o_uncert,epoch_start,epoch_end,A_V,A_V_uncert,host_model,reduced_chi2,probability,time_start,time_end,time_mid,Trigger Number
671,160625B,0.34,0.27,6.028,4.8205,0.079,0.125,MW,0.74,0.6164613218,1066596.1212302567,66145.45374840603,566370.7874893313,Fermi
672,160625B,0.53,0.22,6.062,4.8205,0.064,0.115,MW,1.09,0.368478317,1153453.257821093,66145.45374840603,609799.3557847496,Fermi
673,160625B,0.52,0.32,6.095,4.8205,0.0,0.083,MW,1.84,0.08626543825,1244514.6117713845,66145.45374840603,655330.0327598953,Fermi
674,160625B,0.7,0.48,6.123,6.1395,0.0,0.009,LMC,1.28,0.2219141254,1327394.45772974,1378795.9529688575,1353095.2053492987,Fermi
675,160625B,0.84,0.3,6.1338,6.1498,0.0,0.039,MW,0.69,0.7606824057,1360817.858362455,1411887.1968036585,1386352.5275830566,Fermi
676,160625B,0.84,0.33,6.1394,6.1498,0.0,0.005,LMC,0.44,0.8990114824,1378478.5100164725,1411887.1968036585,1395182.8534100656,Fermi
677,160625B,1.08,0.59,6.2226,6.223,0.0,0.298,SMC,1.8,0.09414117125,1669552.191554301,1671090.614310707,1670321.402932504,Fermi
678,160625B,0.67,0.25,5.742,6.223,0.0,0.01,MW,1.7,0.1172148885,552077.4392807573,1671090.614310707,1111584.026795732,Fermi
679,160625B,1.15,0.72,6.2606,6.2668,0.0,1.796,LMC,0.7,0.6687685841,1822216.605668786,1848417.1953696557,1835316.9005192209,Fermi
680,160625B,0.55,0.2,5.805,6.2668,0.009,0.104,MW,1.33,0.2413850782,638263.4861905483,1848417.1953696557,1243340.340780102,Fermi
681,160625B,1.15,0.61,6.2606,6.2768,0.0,8.522,LMC,0.51,0.8703837771,1822216.605668786,1891472.3628330135,1856844.4842508999,Fermi
682,160625B,0.62,0.32,5.908,6.2768,0.0,0.047,LMC,2.01,0.0605344121,809095.8991783829,1891472.3628330135,1350284.1310056983,Fermi
683,160625B,-0.27,0.11,4.6847,4.6939,0.0,0.009,MW,0.0,0.99999998,48383.802865115926,49419.688084783804,48901.745474949865,Fermi
684,160625B,-0.88,0.09,6.6189,6.6194,0.607,0.047,MW,0.01,0.99999938,4158148.545615801,4162938.54786145,4160543.5467386255,Fermi
685,161023A,0.51,0.08,4.9864,4.9917,0.058,0.011,SMC,1.63,0.06976262212,96917.00839472904,98107.00097431974,97512.00468452439,INTEGRAL
686,161023A,0.63,0.07,5.2511,5.2538,0.059,0.009,SMC,0.61,0.8069472103,178278.92225796691,179390.7311734205,178834.8267156937,INTEGRAL
687,161023A,0.76,0.12,4.58,4.5926,0.0,0.145,LMC,0.08,0.98904325,38018.93963205613,39138.1235612212,38578.53159663866,INTEGRAL
688,161023A,0.58,0.05,4.9593,4.9662,0.053,0.007,SMC,0.81,0.7386150523,91054.2035595527,92512.41112525512,91783.30734240392,INTEGRAL
689,161023A,0.56,0.05,4.9593,4.9716,0.055,0.008,SMC,1.34,0.09165643667,91054.2035595527,93669.88779521153,92362.04567738212,INTEGRAL
690,161023A,-0.46,0.01,4.601,4.6133,0.181,0.001,SMC,0.0,0.999998952,39902.4902362142,41048.75598336483,40475.623109789514,INTEGRAL
691,161023A,-0.5,0.12,4.6832,4.6883,0.199,0.015,SMC,0.07,0.990282111,48216.97939006183,48786.53791974776,48501.7586549048,INTEGRAL
692,161023A,-0.5,0.09,4.6832,4.6944,0.199,0.01,SMC,0.04,0.999284676,48216.97939006183,49476.61736816762,48846.79837911473,INTEGRAL
693,161108A,2.18,0.38,4.491,4.6944,0.125,0.282,LMC,0.05,0.995903822,30974.19299216578,49476.61736816762,40225.4051801667,721234
694,161219B,0.85,0.09,6.4698,6.471,1.439,0.55,SMC,0.85,0.5587870516,2949850.4574842416,2958012.4665515465,2953931.462017894,727541
695,161219B,0.57,0.2,6.6456,6.6459,3.893,0.85,MW,1.85,0.07337024561,4421809.210742687,4424864.74355665,4423336.977149669,727541
696,161219B,1.83,0.21,6.5633,6.5633,0.135,0.689,MW,1.79,0.1119809084,3658474.227939712,3658474.227939712,3658474.227939712,727541
697,161219B,-0.33,0.17,5.8527,5.8541,2.846,0.481,LMC,1.86,0.09999608,712360.7787355005,714660.8638768425,713510.8213061716,727541
698,161219B,-0.15,0.05,59911.0,5.8541,1.263,0.149,SMC,0.39,0.813446456,inf,714660.8638768425,inf,727541
699,170113A,0.76,0.18,4.754,5.8541,0.032,0.065,MW,1.3,0.2525984897,56754.460540854656,714660.8638768425,385707.6622088486,732526
700,170214A,0.78,0.3,4.8,5.8541,0.139,0.071,SMC,0.63,0.7355398246,63095.7344480193,714660.8638768425,388878.2991624309,Fermi
701,170519A,1.45,0.09,4.3544,4.3635,0.234,0.106,MW,0.44,0.8779223091,22615.177461083626,23094.044589192716,22854.61102513817,753445
702,170519A,1.27,0.55,4.3544,4.3716,0.0,0.011,SMC,1.31,0.2250883928,22615.177461083626,23528.812019381683,23071.994740232654,753445
703,170519A,1.2,0.75,4.3621,4.3756,0.0,0.003,MW,1.17,0.3076844258,23019.718049853567,23746.52143651677,23383.11974318517,753445
704,170531B,-0.48,0.27,4384.0,4.3756,0.143,0.04,SMC,0.51,0.797794294,inf,23746.52143651677,inf,755354
705,170705A,0.42,0.2,3.6852,3.704,0.253,0.061,MW,1.63,0.07508267996,4843.953885478403,5058.246620031143,4951.1002527547735,760064
706,170705A,0.77,0.15,3.7035,3.7124,0.149,0.046,MW,0.65,0.7320728066,5052.4264494015615,5157.034063026461,5104.730256214011,760064
707,170705A,0.74,0.17,3.7035,3.7225,0.145,0.049,MW,1.04,0.4064172692,5052.4264494015615,5278.37206781577,5165.399258608666,760064
708,170705A,0.76,0.22,3.7118,3.727,0.125,0.05,SMC,1.44,0.1635370509,5149.914276478671,5333.348954876208,5241.631615677439,760064
709,170705A,0.51,0.19,3.7744,3.7916,0.2,0.055,MW,1.33,0.1793233741,5948.397740692212,6188.708114190298,6068.552927441255,760064
710,170705A,0.71,0.22,3.7837,3.7989,0.156,0.062,MW,1.45,0.1356283184,6077.15061560915,6293.612503885458,6185.381559747304,760064
711,170705A,0.3,0.21,3.8033,3.8171,0.256,0.052,SMC,1.99,0.06287103427,6357.699545271866,6562.9636672922,6460.331606282032,760064
712,170705A,0.47,0.25,3.8171,3.8305,0.231,0.06,SMC,1.83,0.05722387233,6562.9636672922,6768.6179291974595,6665.79079824483,760064
713,170705A,0.62,0.21,3.8217,3.8305,0.185,0.051,SMC,1.13,0.3364394255,6632.847312550216,6768.6179291974595,6700.732620873838,760064
714,170705A,0.48,0.15,3.8217,3.8399,0.214,0.043,SMC,1.04,0.408783162,6632.847312550216,6916.716892895647,6774.782102722931,760064
715,170705A,0.24,0.24,3.8807,3.8937,0.261,0.066,MW,1.41,0.1526604577,7598.012435158516,7828.886556130138,7713.449495644327,760064
716,170705A,0.61,0.19,3.8937,3.915,0.195,0.055,MW,1.44,0.112184148,7828.886556130138,8222.426499470712,8025.6565278004255,760064
717,170705A,0.6,0.16,3.9458,3.9658,0.184,0.048,MW,1.16,0.2760054923,8826.733207212583,9242.724327301174,9034.728767256878,760064
718,170705A,0.53,0.19,3.9505,3.9704,0.212,0.055,MW,1.47,0.08184532492,8922.776195878267,9341.142557364794,9131.95937662153,760064
719,170705A,0.46,0.19,3.9563,3.975,0.236,0.054,MW,1.42,0.09836248504,9042.739083117836,9440.608762859236,9241.673922988535,760064
720,170705A,0.21,0.17,3.9611,3.9798,0.314,0.051,MW,1.27,0.1853034577,9143.237480570986,9545.528969328621,9344.383224949805,760064
721,170705A,0.24,0.19,3.9655,3.9798,0.316,0.057,MW,1.27,0.2072005213,9236.341884196305,9545.528969328621,9390.935426762462,760064
722,170705A,0.31,0.18,3.9795,3.9971,0.302,0.054,MW,0.96,0.4930607204,9538.937428415446,9933.44748170826,9736.192455061853,760064
723,170705A,0.35,0.18,3.9879,4.0015,0.29,0.053,MW,0.91,0.5565795618,9725.232662363469,10034.598491478393,9879.915576920932,760064
724,170705A,0.2,0.19,3.9879,4.006,0.33,0.057,MW,1.37,0.1255491858,9725.232662363469,10139.1138573668,9932.173259865134,760064
725,170705A,0.28,0.2,3.9923,4.0111,0.307,0.058,MW,1.37,0.124439517,9824.263447582707,10258.881185266031,10041.572316424368,760064
726,170705A,0.43,0.18,4.0471,4.0636,0.224,0.047,SMC,1.35,0.1328102477,11145.51138931604,11577.105741152709,11361.308565234374,760064
727,170705A,0.69,0.18,4.0508,4.0667,0.165,0.049,SMC,1.34,0.1361545191,11240.871934697292,11660.03891851448,11450.455426605886,760064
728,170705A,0.56,0.18,4.0548,4.0713,0.197,0.047,SMC,1.18,0.2535861085,11344.882442111657,11784.197159331365,11564.539800721512,760064
729,170705A,0.45,0.2,4.0588,4.0748,0.244,0.053,SMC,1.17,0.2788566453,11449.855346901883,11879.550279416511,11664.702813159198,760064
730,170705A,0.45,0.19,4.0588,4.0774,0.242,0.051,SMC,1.11,0.3370489381,11449.855346901883,11950.88314736272,11700.369247132301,760064
731,170705A,0.55,0.19,4.0622,4.0816,0.185,0.05,SMC,1.18,0.2605790935,11539.84565005087,12067.01909593275,11803.43237299181,760064
732,170705A,0.72,0.23,4.0665,4.0816,0.137,0.062,SMC,1.31,0.1809309131,11654.67050837196,12067.01909593275,11860.844802152355,760064
733,170705A,0.75,0.21,4.0665,4.0877,0.128,0.056,SMC,1.24,0.2062840683,11654.67050837196,12237.705564718282,11946.188036545122,760064
