,GRB,B_o,B_o_uncert,epoch_start,epoch_end,A_V,A_V_uncert,host_model,reduced_chi2,probability,time_start,time_end,time_mid,Trigger Number
24,071112C,-0.51,0.46,4.4444,4.455,0.329,0.288,LMC,0.13,0.993100448,27822.746576751222,28510.182675039097,28166.46462589516,296504
25,071112C,-2.06,0.54,53171.0,4.455,1.007,0.346,LMC,0.05,0.851189587,inf,28510.182675039097,inf,296504
26,071112C,-2.04,1.52,63226.0,4.455,1.288,1.021,LMC,0.1,0.861539108,inf,28510.182675039097,inf,296504
27,080319B,0.28,0.05,4.0976,4.1193,0.127,0.017,MW,1.37,0.180221269,12519.875206248813,13161.336711857291,12840.605959053053,306757
28,080319B,0.43,0.05,4.4401,4.4617,0.078,0.036,MW,0.45,0.848775185,27548.62960952472,28953.428647598095,28251.029128561408,306757
29,080319B,0.39,0.04,4.451,4.4617,0.07,0.027,MW,0.25,0.9414147051,28248.799749157046,28953.428647598095,28601.11419837757,306757
30,080319B,0.29,0.06,4.451,4.4678,0.059,0.06,MW,1.2,0.3013992271,28248.799749157046,29362.971257566955,28805.885503362,306757
31,080319B,0.28,0.06,4.451,4.472,0.057,0.06,MW,1.2,0.2986063362,28248.799749157046,29648.313895243453,28948.556822200248,306757
32,080319B,0.21,0.09,4.4597,4.4759,0.095,0.083,MW,1.63,0.1477573543,28820.399726719992,29915.75721530859,29368.07847101429,306757
33,080319B,0.26,0.08,4.4617,4.482,0.0,0.043,MW,1.95,0.0819228779,28953.428647598095,30338.911841942718,29646.17024477041,306757
34,080319B,0.16,0.16,4.6591,4.6784,0.01,0.083,MW,1.4,0.192244461,45614.193442198244,47686.999810177775,46650.59662618801,306757
35,080319B,-0.64,0.36,3.8579,3.8765,0.603,0.214,SMC,0.66,0.678529865,7209.414571644229,7524.887301735844,7367.150936690036,306757
36,080319B,-1.41,0.22,3.9593,3.9741,1.881,0.317,MW,1.31,0.241940924,9105.42035595527,9421.064995881912,9263.242675918591,306757
37,080319B,-0.75,0.24,4.1495,4.1688,0.597,0.105,SMC,1.17,0.301100805,14109.122364580953,14750.271017597594,14429.696691089273,306757
38,080319B,-0.22,0.17,4.3314,4.3504,0.102,0.036,SMC,1.48,0.109695979,21448.651854918033,22407.84026786055,21928.24606138929,306757
39,080319B,-0.19,0.16,4.333,4.3518,0.098,0.035,SMC,1.47,0.11277859,21527.817347243737,22480.19116362598,22004.00425543486,306757
40,080319B,-0.18,0.14,4.3456,4.367,0.836,0.164,MW,1.58,0.059977819,22161.543259597205,23280.91257665008,22721.227918123644,306757
41,080319B,-0.94,0.13,4.3518,4.3714,1.515,0.126,MW,0.73,0.76404299,22480.19116362598,23517.979095583705,22999.085129604842,306757
42,080319B,-0.99,0.13,4.3535,4.3714,1.546,0.123,MW,0.67,0.813545187,22568.35995497228,23517.979095583705,23043.16952527799,306757
43,080319B,-1.38,0.44,4.8669,4.8846,0.341,0.089,SMC,1.57,0.117498948,73603.7599060909,76665.50486891739,75134.63238750414,306757
44,080319B,-1.14,0.38,4.8722,4.8891,0.292,0.072,SMC,1.61,0.066971696,74507.50146362526,77464.01447537537,75985.75796950032,306757
45,080319B,-1.19,0.35,4.8722,4.8908,0.302,0.067,SMC,1.42,0.120289936,74507.50146362526,77767.83344557049,76137.66745459787,306757
46,080319B,-1.2,0.33,4.8722,4.8924,0.305,0.062,SMC,1.24,0.217265979,74507.50146362526,78054.86914662384,76281.18530512456,306757
47,080319B,-1.19,0.31,4.8722,4.8935,0.303,0.059,SMC,1.17,0.275761191,74507.50146362526,78252.82050666127,76380.16098514327,306757
48,080319B,-1.0,0.41,4.8739,4.8952,0.269,0.073,SMC,1.2,0.245888689,74799.72479493333,78559.73322609896,76679.72901051614,306757
49,080319B,-1.03,0.43,4.8793,4.8952,0.274,0.077,SMC,1.27,0.194267593,75735.5877274438,78559.73322609896,77147.66047677139,306757
50,080319B,-1.04,0.43,4.8793,4.8958,0.278,0.076,SMC,1.23,0.215211905,75735.5877274438,78668.34251584503,77201.9651216444,306757
51,080319B,-1.07,0.45,4.8793,4.8969,0.285,0.08,SMC,1.36,0.126163391,75735.5877274438,78867.84967745,77301.7187024469,306757
52,080319B,-1.08,0.44,4.8793,4.898,0.286,0.078,SMC,1.3,0.158069922,75735.5877274438,79067.86279998245,77401.72526371313,306757
53,080319B,-1.08,0.43,4.8793,4.8985,0.285,0.076,SMC,1.24,0.199081189,75735.5877274438,79158.94546242619,77447.26659493499,306757
54,080319B,-0.56,0.08,5.2702,5.2781,0.195,0.015,SMC,0.01,0.999837523,186294.48569616536,189714.27041737118,188004.37805676827,306757
55,080319B,-0.49,0.27,5.377,5.3929,0.004,0.102,LMC,0.01,0.999732226,238231.9469358689,247115.50750182188,242673.7272188454,306757
56,080319B,-0.83,0.27,5.3822,5.3987,0.047,0.102,LMC,0.01,0.992625629,241101.54867304116,250437.86918733423,245769.70893018768,306757
57,080319B,-1.61,0.53,5.4392,5.4545,0.313,0.104,SMC,0.49,0.745259955,274915.98965510365,284773.78001737484,279844.8848362393,306757
58,080413A,1.29,0.32,4.263,5.4545,0.193,0.05,SMC,1.34,0.2452313838,18323.144223712112,284773.78001737484,151548.46212054347,309096
59,080413A,1.59,0.22,4.052,5.4545,0.138,0.046,SMC,1.61,0.1272272868,11271.974561755094,284773.78001737484,148022.87728956496,309096
60,080413B,0.29,0.16,2.534,5.4545,0.005,0.047,MW,1.03,0.3901272317,341.9794425137087,284773.78001737484,142557.87972994428,309111
61,080413B,0.27,0.2,2.648,5.4545,0.0,0.016,SMC,0.7,0.5946761615,444.6312674691088,284773.78001737484,142609.20564242196,309111
62,080413B,0.31,0.27,2.9339,2.9389,0.0,0.02,SMC,1.48,0.1795666591,858.8157491027289,868.7603667871442,863.7880579449366,309111
63,080413B,0.31,0.15,3.127,2.9389,0.0,0.035,SMC,0.39,0.8180428806,1339.6766874259345,868.7603667871442,1104.2185271065393,309111
64,080413B,0.26,0.18,3.15,3.1582,0.0,0.017,SMC,1.98,0.05322548587,1412.537544622754,1439.4613220781596,1425.999433350457,309111
65,080413B,0.18,0.16,3.2091,3.2286,0.02,0.058,SMC,0.49,0.8448882659,1618.45265723823,1692.777976098532,1655.615316668381,309111
66,080413B,0.16,0.16,3.2195,3.2369,0.025,0.059,SMC,0.47,0.8563460558,1657.6773368488807,1725.440548877473,1691.558942863177,309111
67,080413B,0.32,0.21,3.3223,3.3314,0.0,0.187,MW,1.78,0.09956479876,2100.390280821431,2144.865185491801,2122.627733156616,309111
68,080413B,0.33,0.3,3.3556,3.3705,0.0,0.001,LMC,1.81,0.06950802835,2267.775191567259,2346.929262686464,2307.352227126861,309111
69,080413B,0.19,0.15,3.402,3.4087,0.032,0.041,MW,0.74,0.5909306728,2523.4807724805755,2562.7131654112345,2543.0969689459052,309111
70,080413B,0.28,0.1,3.402,3.419,0.007,0.027,MW,0.79,0.6224776794,2523.4807724805755,2624.218543384442,2573.8496579325088,309111
71,080413B,0.28,0.15,3.4087,3.4247,0.007,0.044,MW,1.24,0.2834859044,2562.7131654112345,2658.887730705083,2610.8004480581585,309111
72,080413B,0.34,0.18,3.419,3.4352,0.0,0.138,LMC,1.58,0.113944566,2624.218543384442,2723.9554471208658,2674.0869952526537,309111
73,080413B,0.26,0.18,3.551,3.4352,0.009,0.049,MW,1.27,0.2799981982,3556.3131856898544,2723.9554471208658,3140.13431640536,309111
74,080413B,0.25,0.21,3.577,3.4352,0.0,0.007,MW,1.1,0.3568177237,3775.72190925416,2723.9554471208658,3249.838678187513,309111
75,080413B,0.21,0.17,3.6223,3.6327,0.039,0.048,MW,1.74,0.08492424262,4190.829574049906,4292.398159704706,4241.613866877306,309111
76,080413B,0.21,0.14,3.6223,3.6429,0.053,0.052,SMC,0.99,0.4606989774,4190.829574049906,4394.404188918088,4292.616881483997,309111
77,080413B,0.22,0.15,3.6327,3.6429,0.052,0.054,SMC,0.91,0.513012758,4292.398159704706,4394.404188918088,4343.401174311397,309111
78,080413B,0.35,0.15,3.6327,3.6529,0.007,0.056,SMC,1.23,0.2462262876,4292.398159704706,4496.763011769069,4394.580585736887,309111
79,080413B,0.36,0.22,3.6429,3.6529,0.0,0.052,SMC,1.18,0.3089735524,4394.404188918088,4496.763011769069,4445.583600343578,309111
80,080413B,0.38,0.24,3.6644,3.6735,0.0,0.006,LMC,1.24,0.2702892183,4617.4265947729555,4715.198713364481,4666.312654068718,309111
81,080413B,0.35,0.2,3.6644,3.6827,0.0,0.008,LMC,1.26,0.233877407,4617.4265947729555,4816.14994840047,4716.788271586713,309111
82,080413B,0.34,0.21,3.6735,3.6918,0.0,0.043,LMC,1.54,0.1018045993,4715.198713364481,4918.129952683078,4816.664333023779,309111
83,080413B,0.77,0.1,5.4093,5.419,0.041,0.055,LMC,1.17,0.3003121784,256625.6131321225,262421.8543384439,259523.7337352832,309111
84,080514B,1.14,0.01,5.236,5.2425,0.0,0.004,LMC,0.0,0.9292314179,172186.8574986006,174783.32624182175,173485.09187021118,AGILE
85,080514B,-0.96,0.28,58891.0,5.2425,0.0,0.102,LMC,0.11,0.561477188,inf,174783.32624182175,inf,AGILE
86,080905B,-1.95,0.62,5.5936,5.6073,0.116,0.125,MW,1.43,0.144862798,392283.46253952093,404855.45937074197,398569.46095513145,323898
87,080905B,-1.92,0.96,5.6424,5.6547,0.187,0.201,MW,1.82,0.051555573,438934.7855347174,451543.92112783185,445239.3533312746,323898
88,080916C,0.26,0.07,5.063,5.0694,0.013,0.02,LMC,0.03,0.9990326548,115611.2242192098,117327.54947195546,116469.38684558263,Fermi
89,090902B,1.36,0.04,5.1248,5.1335,0.793,0.008,LMC,0.01,0.9999164476,133290.74642313368,135987.81632845185,134639.28137579275,Fermi
90,091109A,-1.34,0.12,48573.0,5.1335,0.276,0.01,SMC,0.01,0.999695946,inf,135987.81632845185,inf,375246
91,091208B,1.24,0.31,4.7442,4.7471,0.196,0.147,MW,0.94,0.475548993,55488.11863580899,55859.88020572553,55673.99942076726,378559
92,100425A,0.85,0.14,4.328,4.7471,0.0,0.106,MW,0.18,0.9891639713,21281.390459827133,55859.88020572553,38570.635332776335,420398
93,100621A,0.97,0.18,3.5781,3.5941,1.777,0.363,MW,0.7,0.6536630191,3785.297343755959,3927.3535564672516,3856.3254501116053,425151
94,100621A,1.09,0.04,5.0447,5.0538,1.431,0.053,MW,0.17,0.9730296606,110840.88890158663,113187.89936554157,112014.3941335641,425151
95,100728A,2.25,0.13,1.699,5.0538,0.0,0.003,MW,0.17,0.9528804308,50.003453497697855,113187.89936554157,56618.951409519635,430151
96,100814A,0.1,0.05,3.9007,3.9174,0.057,0.031,MW,1.24,0.1958805775,7956.0957293002175,8267.99109117871,8112.043410239464,431605
97,100814A,0.1,0.05,3.9007,3.9223,0.054,0.028,MW,1.2,0.2129711332,7956.0957293002175,8361.804317558855,8158.9500234295365,431605
98,100814A,0.13,0.05,3.9064,3.9227,0.042,0.03,MW,1.23,0.2028399553,8061.205638638912,8369.509371711594,8215.357505175252,431605
99,100814A,0.14,0.06,3.9117,3.9227,0.039,0.035,MW,1.4,0.1149199029,8160.184910197368,8369.509371711594,8264.84714095448,431605
100,100814A,2.04,0.81,5.7486,5.7663,0.208,0.218,MW,1.47,0.1723872305,560531.4696465372,583848.2731071996,572189.8713768683,431605
101,100814A,1.2,0.21,5.7531,5.7703,0.084,0.068,MW,0.14,0.9916960386,566369.685464721,589250.5546643288,577810.1200645249,431605
102,100814A,0.5,0.29,2.7905,2.7955,0.0,0.123,LMC,1.56,0.1533295628,617.305291888684,624.4533502805023,620.8793210845931,431605
103,100814A,0.7,0.06,5.7923,5.7983,0.079,0.03,MW,1.22,0.1472887678,619869.117636061,628492.3560377518,624180.7368369064,431605
104,100814A,0.27,0.26,2.914,2.9177,0.032,0.138,MW,1.12,0.3481403685,820.3515443298185,827.370439016575,823.8609916731967,431605
105,100814A,0.64,0.18,5.8498,5.8507,0.03,0.076,LMC,0.17,0.999975537,707619.83835979,709087.77826207,708353.80831093,431605
106,100814A,0.14,0.1,3.1573,3.1594,0.032,0.065,MW,0.71,0.6629498812,1436.48137689049,1443.4442007129162,1439.962788801703,431605
107,100814A,0.06,0.03,3.1719,3.1742,0.088,0.018,MW,0.13,0.9958923728,1485.5935323494725,1493.482025127055,1489.5377787382638,431605
108,100814A,0.53,0.31,5.9826,5.9826,0.21,0.106,SMC,0.22,0.9533136483,960727.0084891195,960727.0084891195,960727.0084891195,431605
109,100814A,0.26,0.14,3.2786,3.2899,0.0,0.008,SMC,1.4,0.1913652143,1899.3281282184803,1949.3956831325586,1924.3619056755194,431605
110,100814A,0.06,0.05,3.4907,3.4989,0.074,0.029,MW,0.62,0.843364496,3095.2804165939788,3154.278240344361,3124.7793284691697,431605
111,100814A,0.09,0.05,3.4907,3.5056,0.053,0.028,MW,0.87,0.6247201088,3095.2804165939788,3203.3176008528117,3149.299008723395,431605
112,100814A,0.1,0.06,3.4978,3.5056,0.041,0.037,MW,1.24,0.2427316094,3146.2990561619904,3203.3176008528117,3174.808328507401,431605
113,100814A,0.28,0.03,5.0134,5.0238,0.1,0.018,MW,0.97,0.5273683996,103133.55783043837,105633.09388106862,104383.3258557535,431605
114,100814A,0.33,0.3,5.3283,5.3425,0.0,0.089,LMC,0.66,0.743927582,212960.96202155092,220039.17096373998,216500.06649264545,431605
115,100814A,0.14,0.05,3.7027,3.7201,0.041,0.031,MW,1.29,0.1707412198,5043.128102663999,5249.283155466852,5146.2056290654255,431605
116,100814A,0.15,0.05,3.7111,3.7201,0.042,0.03,MW,1.1,0.3474174794,5141.620281354357,5249.283155466852,5195.451718410604,431605
117,100814A,0.14,0.04,3.7111,3.7283,0.055,0.026,MW,1.01,0.4502666318,5141.620281354357,5349.337509431612,5245.478895392984,431605
118,100814A,0.05,0.05,3.7195,3.7372,0.115,0.028,MW,0.6,0.8791128623,5242.036010084628,5460.092497542736,5351.064253813682,431605
119,100814A,0.06,0.05,3.7444,3.7525,0.087,0.032,MW,0.65,0.827035056,5551.367774352115,5655.877570891539,5603.6226726218265,431605
120,100814A,0.04,0.04,3.7676,3.7826,0.061,0.026,MW,0.76,0.7713385954,5855.985598492877,6061.777620466953,5958.881609479915,431605
121,100814A,0.07,0.04,3.7676,3.7893,0.047,0.025,MW,0.78,0.769946343,5855.985598492877,6156.019686448958,6006.002642470918,431605
122,100814A,0.09,0.04,3.7681,3.7898,0.04,0.025,MW,0.72,0.8248409589,5862.731433534501,6163.1111474198415,6012.921290477171,431605
123,100814A,0.09,0.04,3.775,3.7898,0.04,0.025,MW,0.73,0.8107620129,5956.621435290103,6163.1111474198415,6059.866291354972,431605
124,100814A,0.09,0.05,3.7786,3.7975,0.044,0.032,MW,1.04,0.407179195,6006.202909194723,6273.356959840379,6139.779934517552,431605
125,100814A,0.64,0.03,5.5485,5.5613,0.09,0.018,MW,1.32,0.1082485215,353590.0211003866,364166.5065732136,358878.2638368001,431605
126,100814A,0.65,0.03,5.5485,5.5672,0.088,0.017,MW,1.22,0.1748951821,353590.0211003866,369147.5581654127,361368.7896328997,431605
127,100814A,0.65,0.03,5.5524,5.5672,0.088,0.017,MW,1.26,0.1433310802,356779.5882885619,369147.5581654127,362963.57322698727,431605
128,100814A,0.63,0.03,5.6524,5.6589,0.127,0.018,MW,0.59,0.9411275329,449158.8901059318,455931.9216592222,452545.405882577,431605
129,100814A,0.07,0.06,3.834,3.8434,0.038,0.039,MW,1.25,0.2222635094,6823.3869414166975,6972.684264076381,6898.035602746539,431605
130,100814A,0.64,0.03,5.6524,5.6636,0.123,0.02,MW,0.73,0.8267720409,449158.8901059318,460892.880980895,455025.8855434134,431605
131,100814A,0.64,0.03,5.6524,5.6693,0.122,0.02,MW,0.77,0.7955335726,449158.8901059318,466981.84855783655,458070.3693318842,431605
132,100814A,0.63,0.04,5.6528,5.6693,0.128,0.023,MW,0.86,0.6568219282,449572.77130190557,466981.84855783655,458277.30992987106,431605
133,100814A,1.15,0.76,5.6851,5.6976,0.031,0.231,MW,1.29,0.2663957197,484283.8652278515,498425.2094042604,491354.53731605597,431605
134,100814A,0.68,0.04,5.7264,5.7303,0.111,0.024,MW,0.99,0.4828758921,532598.5748490616,537402.8929503498,535000.7338997057,431605
135,100814A,0.1,0.05,3.8956,3.917,0.057,0.031,MW,1.24,0.19361597,7863.212274584181,8260.379495771784,8061.795885177982,431605
136,100814A,-0.03,0.02,4.2826,4.3026,0.133,0.015,MW,1.32,0.171982714,19169.0239501113,20072.432216432946,19620.728083272123,431605
137,100814A,-0.09,0.05,3.1864,3.1885,0.24,0.034,MW,0.18,0.948756154,1536.031068385027,1543.4764233245317,1539.7537458547795,431605
138,100814A,-1.02,0.89,6.1178,6.1184,0.366,0.202,SMC,0.55,0.838500643,1311595.7477555475,1313409.0365327345,1312502.392144141,431605
139,100814A,-0.44,0.14,3.2412,3.2429,0.325,0.068,MW,0.02,0.998805006,1742.6091898259306,1749.4438179186163,1746.0265038722735,431605
140,100814A,-0.2,0.07,3.3101,3.3116,0.22,0.042,MW,0.41,0.898631102,2042.2081263346354,2049.2738583802447,2045.74099235744,431605
141,100814A,-1.57,0.42,6.7332,6.7411,0.922,0.252,MW,1.86,0.072259871,5410034.068634679,5509345.391672409,5459689.730153544,431605
142,100814A,-0.11,0.06,3.4298,3.4467,0.17,0.036,MW,0.9,0.570410634,2690.295591704617,2797.0485194780945,2743.6720555913557,431605
143,100814A,-0.15,0.07,3.4379,3.4467,0.188,0.04,MW,0.89,0.549302169,2740.942973818077,2797.0485194780945,2768.9957466480855,431605
144,100814A,-0.11,0.08,3.4609,3.4619,0.122,0.047,MW,0.56,0.759000551,2890.014355349471,2896.6765264870983,2893.3454409182846,431605
145,100814A,-0.11,0.05,3.518,3.5189,0.184,0.027,MW,0.16,0.98700701,3296.097121774576,3302.934793960337,3299.5159578674566,431605
146,100814A,-0.77,0.06,3.5694,3.5702,0.16,0.026,LMC,0.02,0.911691418,3710.2228861746507,3717.0636679606755,3713.643277067663,431605
147,100814A,-0.09,0.09,3.6458,3.666,0.129,0.049,MW,1.25,0.235328774,4423.845998088853,4634.46919736288,4529.157597725866,431605
148,100814A,-0.09,0.08,3.6458,3.6667,0.129,0.046,MW,1.14,0.313122218,4423.845998088853,4641.945102393461,4532.895550241157,431605
149,100814A,-0.15,0.09,3.6555,3.6758,0.186,0.051,MW,1.33,0.187297782,4523.764623324995,4740.236390350336,4632.000506837665,431605
150,100814A,-0.17,0.12,3.6562,3.6758,0.191,0.069,MW,1.39,0.186330788,4531.0619497855805,4740.236390350336,4635.649170067958,431605
151,100814A,-0.13,0.07,3.794,3.8109,0.174,0.042,MW,1.36,0.122574844,6223.002851691595,6469.9362280868145,6346.469539889205,431605
152,100814A,-0.1,0.07,3.8073,3.8249,0.151,0.039,MW,1.5,0.069876091,6416.526614874055,6681.900434105529,6549.213524489792,431605
153,100901A,1.83,0.05,5.1586,5.1603,0.507,0.012,MW,0.0,0.9999971265,144078.7725688693,144643.8590106879,144361.3157897786,433065
154,100901A,0.62,0.47,5.3587,5.3734,0.472,0.277,LMC,0.16,0.9413661467,228402.0512840462,236265.3315486059,232333.69141632604,433065
155,100901A,-1.45,0.41,4.9589,4.9673,0.448,0.129,MW,1.44,0.196386272,90970.37814779893,92747.0275918869,91858.7028698429,433065
156,100901A,-1.48,0.36,4.9589,4.9706,0.472,0.104,MW,1.14,0.333913028,90970.37814779893,93454.45303153407,92212.41558966649,433065
157,100901A,-1.68,0.27,4.9589,4.9727,0.542,0.062,MW,1.08,0.375597985,90970.37814779893,93907.43968513636,92438.90891646764,433065
158,100901A,-1.73,0.27,4.9589,4.9766,0.577,0.055,MW,1.14,0.327534426,90970.37814779893,94754.53397646618,92862.45606213255,433065
159,100901A,-0.56,0.18,5.0109,5.0235,0.0,0.058,LMC,0.29,0.943439265,102541.57883552331,105560.15032159303,104050.86457855816,433065
160,100901A,-0.82,0.25,5.0939,5.1095,0.076,0.033,SMC,0.15,0.964664667,124136.64394960395,128676.72530296713,126406.68462628554,433065
161,100901A,-0.59,0.5,5.1592,5.1771,0.083,0.138,MW,0.7,0.593446997,144277.9623129479,150348.81171689866,147313.38701492327,433065
162,100901A,-0.92,0.29,5.2211,5.2302,0.205,0.346,LMC,0.87,0.46944184,166379.57093869997,169902.59026713728,168141.08060291864,433065
163,100901A,-1.29,0.18,5.2936,5.3065,0.044,0.062,MW,0.64,0.635054681,196607.46338790987,202534.9606824971,199571.21203520347,433065
164,100901A,-0.54,0.4,5.5798,5.587,0.252,0.075,MW,0.27,0.949681673,380014.35294158553,386366.97705406894,383190.66499782726,433065
165,100901A,-0.55,0.36,5.5798,5.5954,0.254,0.068,MW,0.22,0.980297565,380014.35294158553,393912.7154468654,386963.53419422545,433065
166,100906A,-1.79,0.0,4.6705,4.6884,0.176,0.0,MW,0.0,1.0,46827.39513735998,48797.772728648546,47812.583933004265,433509
167,100906A,-1.46,0.6,3.05,3.0689,0.0,0.673,LMC,1.02,0.406750981,1122.018454301963,1171.9254886625693,1146.971971482266,433509
168,101219B,0.59,0.19,5.0839,5.1045,0.0,0.16,LMC,0.09,0.993724646,121310.94895209197,127203.775008569,124257.36198033049,440635
169,101219B,0.77,0.25,5.0945,5.1116,0.058,0.213,LMC,0.21,0.969376726,124308.26358446224,129300.43917962797,126804.3513820451,440635
170,101219B,0.79,0.06,5.1222,5.1299,0.004,0.02,MW,0.01,0.999583214,132495.1557462097,134865.23081667826,133680.19328144396,440635
171,101219B,2.05,0.67,5.1479,5.1601,0.432,0.248,MW,1.84,0.1015536476,140572.38069937463,144577.26338736343,142574.82204336903,440635
172,101219B,3.08,0.04,5.1494,5.1601,0.094,0.012,MW,0.0,0.9999890857,141058.7399309471,144577.26338736343,142818.00165915527,440635
173,101219B,2.19,0.61,5.4364,5.4462,0.209,0.204,MW,1.42,0.2146368595,273149.2422089182,279383.0151362531,276266.12867258565,440635
174,101219B,1.48,0.64,5.4364,5.4528,0.039,0.575,LMC,1.27,0.2168853187,273149.2422089182,283661.2419312515,278405.24207008485,440635
175,101219B,1.49,0.61,5.4364,5.4557,0.0,0.547,LMC,1.18,0.3078396355,273149.2422089182,285561.7271381299,279355.48467352404,440635
176,101219B,2.39,0.33,5.4424,5.4591,0.095,0.112,MW,0.66,0.7251083494,276949.12668096833,287806.10364895297,282377.6151649606,440635
177,101219B,1.45,0.27,5.4462,5.4591,0.0,0.202,LMC,0.13,0.9663005035,279383.0151362531,287806.10364895297,283594.559392603,440635
178,101219B,1.93,1.55,5.4856,5.5029,0.0,0.606,SMC,0.61,0.749755077,305914.4559486408,318346.4417556435,312130.4488521422,440635
179,101219B,1.99,0.24,5.4923,5.5088,0.062,0.086,MW,0.29,0.9194126288,310670.4882789958,322700.7687515532,316685.6285152745,440635
180,101219B,1.7,0.31,5.5017,5.5185,0.047,0.099,MW,0.61,0.7675837402,317468.0321567871,329989.4079108352,323728.7200338112,440635
181,101219B,0.67,0.24,5.5172,5.526,0.129,0.079,MW,0.19,0.9785961144,329003.1075247056,335737.6142429545,332370.36088383006,440635
182,110205A,4.15,0.13,3.2705,3.2862,0.642,0.036,MW,0.1,0.9924281242,1864.2321782525,1932.8582261997385,1898.5452022261193,444643
183,110205A,1.3,0.74,3.9457,3.9656,0.0,0.048,LMC,1.45,0.1818039654,8824.701010756546,9238.468875379447,9031.584943067995,444643
184,110205A,1.3,0.33,3.9505,3.9656,0.0,0.037,MW,1.92,0.07393992778,8922.776195878267,9238.468875379447,9080.622535628856,444643
185,110205A,0.71,0.68,4.0486,4.0593,0.188,0.111,SMC,1.37,0.203895006,11184.073177398599,11463.045071179995,11323.559124289297,444643
186,110205A,0.78,0.46,4.0486,4.0645,0.176,0.075,SMC,1.15,0.3246110885,11184.073177398599,11601.12216148053,11392.597669439565,444643
187,110205A,0.47,0.26,4.0486,4.0673,0.228,0.037,SMC,1.09,0.3653012032,11184.073177398599,11676.158990380134,11430.116083889367,444643
188,110205A,0.61,0.26,4.0998,4.1204,0.206,0.037,SMC,1.09,0.3634289035,12583.457886902854,13194.71457195118,12889.086229427015,444643
189,110205A,0.63,0.26,4.1017,4.121,0.204,0.037,SMC,1.1,0.3571964086,12638.630002312535,13212.956341865765,12925.79317208915,444643
190,110205A,0.9,0.36,4.1069,4.1259,0.168,0.051,SMC,1.81,0.06021333596,12790.867496387487,13362.877894850119,13076.872695618804,444643
191,110205A,0.93,0.3,4.1097,4.13,0.16,0.043,SMC,1.38,0.1680718354,12873.599677157932,13489.628825916532,13181.614251537232,444643
192,110205A,0.91,0.32,4.1118,4.13,0.163,0.045,SMC,1.48,0.1316553157,12935.999794524236,13489.628825916532,13212.814310220383,444643
193,110205A,0.81,0.36,4.1195,4.13,0.171,0.048,SMC,1.27,0.2476045409,13167.399127216206,13489.628825916532,13328.51397656637,444643
194,110205A,0.87,0.36,4.1195,4.1394,0.162,0.048,SMC,1.32,0.214810548,13167.399127216206,13784.785100164725,13476.092113690465,444643
195,110205A,1.01,0.34,4.1441,4.1642,0.137,0.046,SMC,1.0,0.4432562204,13934.776260886812,14594.8622378262,14264.819249356507,444643
196,110205A,1.03,0.36,4.1476,4.1642,0.134,0.048,SMC,1.1,0.358756595,14047.531026968763,14594.8622378262,14321.196632397481,444643
197,110205A,0.92,0.35,4.1476,4.1669,0.153,0.046,SMC,1.13,0.3257124176,14047.531026968763,14685.880838064046,14366.705932516405,444643
198,110205A,0.94,0.34,4.1476,4.1679,0.151,0.045,SMC,1.06,0.3850393249,14047.531026968763,14719.735289779459,14383.633158374112,444643
199,110205A,0.86,0.37,4.151,4.1705,0.159,0.048,SMC,1.58,0.06905502639,14157.93779957081,14808.122552675086,14483.030176122948,444643
200,110205A,0.88,0.36,4.151,4.1716,0.157,0.047,SMC,1.53,0.07884371766,14157.93779957081,14845.676750522714,14501.807275046762,444643
201,110205A,1.17,0.27,4.1752,4.1964,0.378,0.088,MW,1.64,0.08785322235,14969.248567600378,15718.098282039173,15343.673424819775,444643
202,110205A,0.62,0.23,4.2559,4.2747,0.06,0.035,SMC,0.1,0.9999150623,18026.0262847573,18823.483601033706,18424.754942895503,444643
203,110205A,0.64,0.26,4.2589,4.2764,0.057,0.039,SMC,0.12,0.9997828416,18150.97672967716,18897.31054431676,18524.14363699696,444643
204,110205A,0.64,0.22,4.2604,4.2795,0.058,0.033,SMC,0.09,0.9999784604,18213.776371047785,19032.682375763485,18623.229373405637,444643
205,110205A,0.9,0.71,4.2735,4.2928,0.061,0.107,SMC,1.44,0.1653458894,18771.544183750244,19624.563241736898,19198.05371274357,444643
206,110205A,1.04,0.29,4.3489,4.3646,0.029,0.044,SMC,0.28,0.9236013132,22330.579830264098,23152.612332437642,22741.596081350872,444643
207,110205A,0.89,0.39,4.372,4.3895,0.059,0.057,SMC,1.6,0.1078519529,23550.49283896009,24518.84453809514,24034.668688527614,444643
208,110205A,0.67,0.52,4.4652,4.4843,0.098,0.08,SMC,1.59,0.1109079506,29187.708481971455,30500.01128249183,29843.85988223164,444643
209,110205A,0.83,0.43,4.5357,4.556,0.062,0.061,SMC,0.92,0.525211695,34332.07084260957,35974.93351557424,35153.502179091905,444643
210,110205A,0.79,0.51,4.5383,4.5579,0.061,0.073,SMC,1.29,0.2170238211,34538.22385498229,36132.66545234519,35335.44465366374,444643
211,110205A,0.91,0.67,4.5975,4.6187,0.09,0.103,SMC,1.17,0.2867133897,39582.20648357226,41562.34088298601,40572.27368327914,444643
212,110205A,1.15,0.58,4.5996,4.6187,0.035,0.092,SMC,0.82,0.6248997202,39774.066910502785,41562.34088298601,40668.203896744395,444643
213,110205A,1.06,0.73,4.6015,4.6187,0.005,0.249,LMC,0.87,0.554625578,39948.45613082852,41562.34088298601,40755.398506907266,444643
